date,temperature
2020-01-01,0.0
2020-01-02,0.319426914196211
2020-01-03,0.6385429104548294
2020-01-04,0.9570373782912776
2020-01-05,1.2746003218229802
2020-01-06,1.5909226663106015
2020-01-07,1.9056965637884014
2020-01-08,2.2186156974814892
2020-01-09,2.5293755847089563
2020-01-10,2.8376738779733457
2020-01-11,3.1432106639387385
2020-01-12,3.445688760001807
2020-01-13,3.744814008162559
2020-01-14,4.040295565904194
2020-01-15,4.331846193794423
2020-01-16,4.619182539523849
2020-01-17,4.902025418100557
2020-01-18,5.180100087923817
2020-01-19,5.453136522463914
2020-01-20,5.720869677279466
2020-01-21,5.98303975210815
2020-01-22,6.239392447771722
2020-01-23,6.489679217641228
2020-01-24,6.733657513413795
2020-01-25,6.9710910249579285
2020-01-26,7.201749913990168
2020-01-27,7.425411041352014
2020-01-28,7.641858187662378
2020-01-29,7.850882267127387
2020-01-30,8.052281534296082
2020-01-31,8.24586178355759
2020-02-01,8.431436541182466
2020-02-02,8.608827249718338
2020-02-03,8.777863444557473
2020-02-04,8.938382922501706
2020-02-05,9.090231902158013
2020-02-06,9.233265176006146
2020-02-07,9.367346253987925
2020-02-08,9.492347498476231
2020-02-09,9.608150250490226
2020-02-10,9.714644947031966
2020-02-11,9.811731229428416
2020-02-12,9.899318042571705
2020-02-13,9.977323724959511
2020-02-14,10.045676089446497
2020-02-15,10.104312494627006
2020-02-16,10.153179906778366
2020-02-17,10.192234952303611
2020-02-18,10.221443960621704
2020-02-19,10.240782997462883
2020-02-20,10.250237888536224
2020-02-21,10.249804233545948
2020-02-22,10.239487410542694
2020-02-23,10.219302570605391
2020-02-24,10.18927462285904
2020-02-25,10.149438209843165
2020-02-26,10.099837673255347
2020-02-27,10.040527010103673
2020-02-28,9.971569819311478
2020-02-29,9.893039238827187
2020-03-01,9.805017873301416
2020-03-02,9.707597712402896
2020-03-03,9.600880039853939
2020-03-04,9.48497533327545
2020-03-05,9.360003154940483
2020-03-06,9.226092033544386
2020-03-07,9.083379337108461
2020-03-08,8.932011137142789
2020-03-09,8.772142064202566
2020-03-10,8.603935154980778
2020-03-11,8.427561691088421
2020-03-12,8.24320102968167
2020-03-13,8.05104042610353
2020-03-14,7.8512748487152715
2020-03-15,7.644106786100859
2020-03-16,7.429746046834909
2020-03-17,7.208409552012271
2020-03-18,6.980321120744346
2020-03-19,6.745711248834235
2020-03-20,6.504816880849626
2020-03-21,6.257881175818797
2020-03-22,6.00515326678136
2020-03-23,5.7468880144316365
2020-03-24,5.483345755098144
2020-03-25,5.2147920433085195
2020-03-26,4.941497389194379
2020-03-27,4.663736990995775
2020-03-28,4.381790462929846
2020-03-29,4.095941558692635
2020-03-30,3.806477890867608
2020-03-31,3.513690646518288
2020-04-01,3.2178742992462004
2020-04-02,2.9193263179989657
2020-04-03,2.6183468729163732
2020-04-04,2.3152385385053957
2020-04-05,2.010305994437642
2020-04-06,1.7038557242650536
2020-04-07,1.3961957123518964
2020-04-08,1.0876351393225938
2020-04-09,0.7784840763266783
2020-04-10,0.46905317842314054
2020-04-11,0.15965337738733776
2020-04-12,-0.14940442575569168
2020-04-13,-0.45780966816750635
2020-04-14,-0.7652524322981642
2020-04-15,-1.071423752349965
2020-04-16,-1.3760159198001098
2020-04-17,-1.678722787680053
2020-04-18,-1.979240073310707
2020-04-19,-2.2772656591941693
2020-04-20,-2.572499891764341
2020-04-21,-2.8646458777011263
2020-04-22,-3.153409777515118
2020-04-23,-3.4385010961124696
2020-04-24,-3.719632970052693
2020-04-25,-3.9965224512152124
2020-04-26,-4.268890786594293
2020-04-27,-4.536463693945556
2020-04-28,-4.79897163301157
2020-04-29,-5.056150072058327
2020-04-30,-5.307739749458977
2020-05-01,-5.553486930066186
2020-05-02,-5.793143656119648
2020-05-03,-6.026467992440522
2020-05-04,-6.253224265670478
2020-05-05,-6.473183297318657
2020-05-06,-6.68612263038615
2020-05-07,-6.891826749343911
2020-05-08,-7.090087293246534
2020-05-09,-7.280703261771201
2020-05-10,-7.463481213978003
2020-05-11,-7.638235459595169
2020-05-12,-7.804788242639944
2020-05-13,-7.962969917193641
2020-05-14,-8.112619115157013
2020-05-15,-8.253582905820009
2020-05-16,-8.385716947088213
2020-05-17,-8.508885628216365
2020-05-18,-8.62296220390785
2020-05-19,-8.727828919647491
2020-05-20,-8.823377128143811
2020-05-21,-8.909507396765548
2020-05-22,-8.986129605866164
2020-05-23,-9.053163037899209
2020-05-24,-9.110536457236321
2020-05-25,-9.158188180609
2020-05-26,-9.196066138104472
2020-05-27,-9.224127924655308
2020-05-28,-9.242340841971942
2020-05-29,-9.250681930876555
2020-05-30,-9.24913799400639
2020-05-31,-9.237705608864053
2020-06-01,-9.216391131201854
2020-06-02,-9.185210688736897
2020-06-03,-9.144190165203078
2020-06-04,-9.093365174755826
2020-06-05,-9.032781026754817
2020-06-06,-8.962492680959558
2020-06-07,-8.882564693182113
2020-06-08,-8.793071151450702
2020-06-09,-8.694095602747336
2020-06-10,-8.585730970391873
2020-06-11,-8.468079462154284
2020-06-12,-8.34125246918588
2020-06-13,-8.205370455869522
2020-06-14,-8.060562840697735
2020-06-15,-7.906967868296459
2020-06-16,-7.744732472721044
2020-06-17,-7.5740121321596625
2020-06-18,-7.3949707151877995
2020-06-19,-7.207780318725845
2020-06-20,-7.012621097860047
2020-06-21,-6.809681087695129
2020-06-22,-6.599156017414661
2020-06-23,-6.381249116733107
2020-06-24,-6.156170914930965
2020-06-25,-5.92413903267165
2020-06-26,-5.685377966806005
2020-06-27,-5.440118868377326
2020-06-28,-5.188599314046283
2020-06-29,-4.931063071161839
2020-06-30,-4.66775985671052
2020-07-01,-4.398945090382295
2020-07-02,-4.124879641997338
2020-07-03,-3.8458295735433583
2020-07-04,-3.5620658760786985
2020-07-05,-3.2738642017612203
2020-07-06,-2.981504591268043
2020-07-07,-2.685271196875732
2020-07-08,-2.385452001474639
2020-07-09,-2.082338533795322
2020-07-10,-1.776225580128707
2020-07-11,-1.4674108928249123
2020-07-12,-1.1561948958591208
2020-07-13,-0.8428803877555452
2020-07-14,-0.527772242163394
2020-07-15,-0.2111771063807616
2020-07-16,0.10659690187536708
2020-07-17,0.4252404991530637
2020-07-18,0.7444435421022275
2020-07-19,1.0638953341616713
2020-07-20,1.3832849327931733
2020-07-21,1.7023014569588457
2020-07-22,2.0206343945376872
2020-07-23,2.3379739093772516
2020-07-24,2.6540111476769668
2020-07-25,2.9684385433999987
2020-07-26,3.280950122411756
2020-07-27,3.591241805044142
2020-07-28,3.8990117067865344
2020-07-29,4.203960436806069
2020-07-30,4.505791394001957
2020-07-31,4.80421106030124
2020-08-01,5.098929290905872
2020-08-02,5.389659601204039
2020-08-03,5.676119450062176
2020-08-04,5.958030519217418
2020-08-05,6.235118988494207
2020-08-06,6.507115806572989
2020-08-07,6.773756957043167
2020-08-08,7.0347837194773
2020-08-09,7.289942925268255
2020-08-10,7.538987207976495
2020-08-11,7.78167524793983
2020-08-12,8.017772010903736
2020-08-13,8.247048980436373
2020-08-14,8.469284383898403
2020-08-15,8.684263411744121
2020-08-16,8.891778429937155
2020-08-17,9.091629185270577
2020-08-18,9.283623003388476
2020-08-19,9.467574979313088
2020-08-20,9.643308160289179
2020-08-21,9.810653720764812
2020-08-22,9.969451129335463
2020-08-23,10.119548307486443
2020-08-24,10.260801779976639
2020-08-25,10.393076816714816
2020-08-26,10.51624756598826
2020-08-27,10.630197178912004
2020-08-28,10.734817924975491
2020-08-29,10.83001129857254
2020-08-30,10.915688116409179
2020-08-31,10.991768605693077
2020-09-01,11.05818248301732
2020-09-02,11.11486902386058
2020-09-03,11.161777122634907
2020-09-04,11.19886534322178
2020-09-05,11.226101959946465
2020-09-06,11.243464988950134
2020-09-07,11.25094220992872
2020-09-08,11.24853117821705
2020-09-09,11.236239227206259
2020-09-10,11.21408346109212
2020-09-11,11.182090737961468
2020-09-12,11.140297643233422
2020-09-13,11.08875045348168
2020-09-14,11.02750509067365
